"PlantID","Genotype","Treatment","FW"
"1121KN001","Apex","control",117.5
"1121KN002","Apex","control",112.6
"1121KN003","Apex","control",117.2
"1121KN004","Apex","control",111
"1121KN005","Apex","control",74.4
"1121KN006","Apex","control",110.3
"1121KN007","Apex","control",113.9
"1121KN008","Apex","control",115.3
"1121KN009","Apex","control",99.3
"1121KN010","Apex","stress",57
"1121KN011","Apex","stress",55.4
"1121KN012","Apex","stress",60.8
"1121KN013","Apex","stress",59
"1121KN014","Apex","stress",57.2
"1121KN015","Apex","stress",62.4
"1121KN016","Apex","stress",61.1
"1121KN017","Apex","stress",56.4
"1121KN018","Apex","stress",61.3
"1121KN019","Isaria","control",108.2
"1121KN020","Isaria","control",93
"1121KN021","Isaria","control",110.5
"1121KN022","Isaria","control",109.4
"1121KN023","Isaria","control",99.9
"1121KN024","Isaria","control",111.1
"1121KN025","Isaria","control",110.7
"1121KN026","Isaria","control",89.1
"1121KN027","Isaria","control",87.6
"1121KN028","Isaria","stress",69.8
"1121KN029","Isaria","stress",73.4
"1121KN030","Isaria","stress",70.8
"1121KN031","Isaria","stress",59.9
"1121KN032","Isaria","stress",67.6
"1121KN033","Isaria","stress",74.4
"1121KN034","Isaria","stress",69.2
"1121KN035","Isaria","stress",72.7
"1121KN036","Isaria","stress",58.9
"1121KN037","Perun","control",96.8
"1121KN038","Perun","control",102
"1121KN039","Perun","control",79.1
"1121KN040","Perun","control",85.3
"1121KN041","Perun","control",94.3
"1121KN042","Perun","control",98.6
"1121KN043","Perun","control",97.8
"1121KN044","Perun","control",93.7
"1121KN045","Perun","control",93.1
"1121KN046","Perun","stress",53.3
"1121KN047","Perun","stress",46.2
"1121KN048","Perun","stress",48.7
"1121KN049","Perun","stress",37.5
"1121KN050","Perun","stress",62.9
"1121KN051","Perun","stress",48.1
"1121KN052","Perun","stress",52.6
"1121KN053","Perun","stress",53.8
"1121KN054","Perun","stress",51.6
"1121KN055","Sissy","control",102.4
"1121KN056","Sissy","control",97.7
"1121KN057","Sissy","control",108.8
"1121KN058","Sissy","control",99.4
"1121KN059","Sissy","control",76.7
"1121KN060","Sissy","control",80.6
"1121KN061","Sissy","control",106
"1121KN062","Sissy","control",106.8
"1121KN063","Sissy","control",101.4
"1121KN064","Sissy","stress",51.3
"1121KN065","Sissy","stress",53.1
"1121KN066","Sissy","stress",53.3
"1121KN067","Sissy","stress",53.2
"1121KN068","Sissy","stress",56.4
"1121KN069","Sissy","stress",48.3
"1121KN070","Sissy","stress",47.2
"1121KN071","Sissy","stress",58.1
"1121KN072","Sissy","stress",47.2
"1121KN073","Trumpf","control",120.8
"1121KN074","Trumpf","control",121.2
"1121KN075","Trumpf","control",116.7
"1121KN076","Trumpf","control",117
"1121KN077","Trumpf","control",85
"1121KN078","Trumpf","control",122.4
"1121KN079","Trumpf","control",119.4
"1121KN080","Trumpf","control",124.3
"1121KN081","Trumpf","control",128.3
"1121KN082","Trumpf","stress",66
"1121KN083","Trumpf","stress",65.9
"1121KN084","Trumpf","stress",67.6
"1121KN085","Trumpf","stress",62.3
"1121KN086","Trumpf","stress",75.4
"1121KN087","Trumpf","stress",65.6
"1121KN088","Trumpf","stress",67.2
"1121KN089","Trumpf","stress",70
"1121KN090","Trumpf","stress",66.8
"1121KN091","Franken","control",122.2
"1121KN092","Franken","control",127.7
"1121KN093","Franken","control",121.1
"1121KN094","Franken","control",134.5
"1121KN095","Franken","control",126.5
"1121KN096","Franken","control",138.6
"1121KN097","Franken","control",122
"1121KN098","Franken","control",108.6
"1121KN099","Franken","control",84.8
"1121KN100","Franken","stress",58
"1121KN101","Franken","stress",65.2
"1121KN102","Franken","stress",69.5
"1121KN103","Franken","stress",65.6
"1121KN104","Franken","stress",73.5
"1121KN105","Franken","stress",70.9
"1121KN106","Franken","stress",74.6
"1121KN107","Franken","stress",77.8
"1121KN108","Franken","stress",70.7
"1121KN109","Intensiv","control",88.2
"1121KN110","Intensiv","control",107.9
"1121KN111","Intensiv","control",78.4
"1121KN112","Intensiv","control",95
"1121KN113","Intensiv","control",101.3
"1121KN114","Intensiv","control",77
"1121KN115","Intensiv","control",73.8
"1121KN116","Intensiv","control",120.1
"1121KN117","Intensiv","control",120.5
"1121KN118","Intensiv","stress",74.7
"1121KN119","Intensiv","stress",73.1
"1121KN120","Intensiv","stress",54.7
"1121KN121","Intensiv","stress",70.4
"1121KN122","Intensiv","stress",69.2
"1121KN123","Intensiv","stress",70.3
"1121KN124","Intensiv","stress",74
"1121KN125","Intensiv","stress",76.4
