"PlantID","Dataset","Genotype","Treatment","FW","DW","side.area.norm..mm.2.","side.border.length.norm..mm.","side.compactness.01..relative.","side.compactness.16..relative.","side.fluo.intensity.average..relative.","side.fluo.intensity.classic.sum","side.height.norm..mm.","side.hull.circumcircle.d..px.","side.hull.fillgrade..percent.","side.hull.pc1","side.hull.pc2","side.leaf.count..leafs.","side.leaf.length.average.norm","side.leaf.length.sum.norm..mm.","side.leaf.width.average.norm","side.nir.intensity.average..relative.","side.nir.skeleton.intensity.average..relative.","side.vis.hue.average","side.width.norm..mm.","side.width.norm.relative","side.width.relative","top.area..px.","top.border.length..px.","top.compactness.01..relative.","top.compactness.16..relative.","top.fluo.intensity.average..relative...pix.","top.fluo.intensity.classic.sum","top.hull.circumcircle.d..px.","top.hull.fillgrade..percent.","top.hull.pc2","top.leaf.count","top.leaf.length.average","top.nir.intensity.average..relative...pix.","top.nir.intensity.sum","top.vis.hue.average","volume.fluo.iap"
"1121KN001","KN1121","Apex","control",117.5,17.57,184900.7495,22437.89733,0.004760137,2733.857143,0.409157118,17827728.43,929.4350486,1048.094064,0.366816934,845,741.1036619,24.57142857,326.7358448,7803.916277,41.32297327,0.464719015,0.196766984,0.218586336,701.0075567,1.037114703,1.040609613,366961,32097,0.004476798,2807,0.578143128,52853191,1499.436035,0.30025463,1224.992126,35,385,0.288318908,903430,0.248064374,120136913.2
"1121KN002","KN1121","Apex","control",112.6,15.53,179238.81,21882.55368,0.004849486,2686.285714,0.422314631,18024819.57,964.1957539,1078.489118,0.372763058,894.7142857,714.4478702,25.42857143,318.3353646,8048.482668,39.47911892,0.462510793,0.169766449,0.215598484,661.4189757,1.046195536,1.049721047,370518,29933,0.00519701,2418,0.585514736,54077326,1612.334839,0.280380345,1249.589321,32,398,0.291572067,898456,0.243570983,117021200.6
"1121KN003","KN1121","Apex","control",117.2,16.11,182484.669,22074.01343,0.00491402,2681.857143,0.429398877,18735952.86,894.536404,1026.951765,0.38510588,790.7142857,779.2783725,21.71428571,366.9714744,7913.578026,40.81651231,0.460597555,0.172821897,0.219629957,706.111311,1.006672161,1.010064485,395755,30901,0.005209938,2412,0.606359569,60300208,1562.278442,0.292033364,1199.577765,30,495,0.285364119,965120,0.243199406,123131007.1
"1121KN004","KN1121","Apex","control",111,15.4,182054.9956,22334.30491,0.004663887,2747.285714,0.424990399,18364635.57,931.0903203,1050.014247,0.370235813,959,764.4446369,23.71428571,346.9537903,8106.968934,39.84949477,0.462852026,0.182018916,0.218373414,682.247811,1.030189271,1.033660844,366978,27794,0.005969772,2105,0.594345112,54298021,1444.110596,0.295178727,1213.492319,28,438,0.288359313,900983,0.246047655,118290660.7
"1121KN006","KN1121","Apex","control",110.3,15.59,185537.2681,22418.72376,0.004725831,2718.428571,0.429946756,18960287.71,878.1216265,1020.946045,0.361428866,869.7142857,786.3438681,22.57142857,382.1211941,8482.301787,39.05070828,0.453119992,0.142956238,0.218685057,688.8688977,1.022245571,1.025690375,401425,31763,0.005000545,2513,0.587812926,58793149,1463.664063,0.312766003,1247.943381,35,411,0.290291893,1021019,0.245983662,126084357
"1121KN007","KN1121","Apex","control",113.9,16.18,190056.564,21974.97301,0.005166925,2554.714286,0.430877868,19893381.14,888.4670745,1008.006635,0.370216687,900.2857143,697.0901825,22.28571429,349.3179037,7689.150774,42.35896981,0.464790091,0.191626102,0.21704522,625.5547559,0.991129835,0.994469784,357229,27859,0.005785622,2172,0.581486111,52043744,1488.983276,0.302033317,1162.53234,26,475,0.290632841,906975,0.242441192,121838367.1
"1121KN008","KN1121","Apex","control",115.3,16.08,190046.1751,22853.6464,0.004608313,2752.428571,0.425239682,19299478.29,920.7448723,1070.745919,0.368368188,812.4285714,773.2536745,22.71428571,385.5460201,8332.223822,39.90014376,0.466716021,0.195658956,0.218154517,690.3862301,1.077978479,1.081611094,392372,31611,0.004935731,2546,0.59358304,58551810,1386.123413,0.322879461,1324.015412,27,526,0.292206469,883571,0.245116601,127683853.1
"1121KN009","KN1121","Apex","control",99.3,14.57,169836.0746,21477.83975,0.004695687,2717.857143,0.413595278,16762841.71,896.7434329,1014.259923,0.3760851,943.4285714,706.3691296,20.71428571,385.2983678,7844.884251,39.05140213,0.459797944,0.171393598,0.212535036,682.5236896,1.070650492,1.074258413,333971,26113,0.006156967,2041,0.59237474,49690618,1498.288574,0.27447092,1262.872317,27,479,0.282956016,804659,0.242943998,105271828
"1121KN010","KN1121","Apex","stress",57,7.14,104226.4363,10933.89709,0.011504883,1158,0.434661299,10908538.71,651.7632242,745.4620187,0.42073166,997.2857143,547.8094262,17.85714286,229.6760765,4074.72712,42.41005919,0.47862353,0.289478561,0.216416918,529.2731198,0.973678167,0.976959306,203005,18539,0.007422546,1693,0.573952346,30061554,1289.572388,0.296408724,683.3377356,33,262,0.277684282,423724,0.246115477,50368509.38
"1121KN011","KN1121","Apex","stress",55.4,7.18,101325.2751,12302.80677,0.008663134,1500.428571,0.408573998,10476236.29,532.3077846,683.1931501,0.403947209,1219.571429,592.1713429,18.57142857,233.9529881,4246.323618,40.5001726,0.47305844,0.24205246,0.215065662,592.8631402,1.067857383,1.071455891,215834,19846,0.006889458,1824,0.54369798,31211995,1359.44397,0.228174836,1056.513595,26,347,0.280925966,483902,0.241933676,50490022.4
"1121KN012","KN1121","Apex","stress",60.8,7.93,107919.0171,13784.96462,0.007191013,1762.714286,0.413372629,10594223,713.1462157,823.9616438,0.366529955,1030,557.4543227,22.71428571,229.7175702,5187.897325,37.63150628,0.468831797,0.209980981,0.213625921,550.1019551,1.021411718,1.024853712,194855,19879,0.006196435,2028,0.574494599,28165590,1075.287598,0.273303869,1013.91718,31,286,0.261480507,411267,0.253582349,51095376.17
"1121KN013","KN1121","Apex","stress",59,7.44,106103.3606,12019.06561,0.009514404,1369.142857,0.424724171,11016384.86,614.6575507,721.9894932,0.393526832,1100.714286,590.5876563,16.42857143,269.7988862,4390.746072,41.21893906,0.473943345,0.219610058,0.212865738,585.8282356,1.023178666,1.026626614,214338,21641,0.005751199,2185,0.567310052,31499115,1476.993042,0.231394431,1016.816518,22,430,0.270760876,484620,0.245741571,52687375.87
"1121KN014","KN1121","Apex","stress",57.2,7.36,100285.0552,12145.83183,0.008907775,1475.142857,0.422017821,10128394.86,680.4546,774.1490827,0.373661623,1153.714286,562.4503753,18.42857143,244.6955076,4402.470913,39.93738143,0.471482727,0.216053955,0.215859588,540.584143,1.014888511,1.018308523,186480,17370,0.00777141,1617,0.578572375,27566273,1261.467407,0.242233253,950.8803896,24,324,0.259129628,457987,0.255065728,46449408.75
"1121KN015","KN1121","Apex","stress",62.4,7.73,106752.5324,11920.30107,0.009575919,1333.714286,0.424872618,10969491.29,620.8648195,740.6748221,0.39505416,1105.714286,603.8458564,18.85714286,235.162468,4409.505817,41.10715401,0.479654785,0.277784235,0.216426854,546.6534725,1.034028064,1.037512573,195670,19999,0.006147931,2044,0.565910091,28202219,1281.155151,0.252317564,980.3369503,32,282,0.264063195,427719,0.252133333,50648682.3
"1121KN016","KN1121","Apex","stress",61.1,7.7,109092.2946,12939.94842,0.008280077,1535.857143,0.423087283,11421152.71,636.1760825,741.9429757,0.375531809,1030.142857,599.533007,19,252.5695777,4700.833633,40.29400843,0.470711712,0.23151063,0.211851411,552.9986806,1.025830456,1.029287341,216991,20956,0.00621175,2023,0.563109033,31596494,1274.60083,0.239044531,1023.011736,24,398,0.276205939,464432,0.248281809,54505807.68
"1121KN017","KN1121","Apex","stress",56.4,6.97,105385.5956,12998.57263,0.008009026,1607.428571,0.418514011,10489934.86,589.8284755,740.0858677,0.406680223,1096.714286,600.7275346,16.71428571,294.1102167,4650.899604,39.49592693,0.472008371,0.242638002,0.215578943,585.9661749,0.999462633,1.002830662,199691,18756,0.007135929,1761,0.582142273,29464977,1176.220215,0.271735388,898.7748026,23,336,0.27592099,400629,0.257225293,50511276.32
